name,essround,edition,proddate,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,donprty,badge,sgnptit,pbldmna,bctprd,pstplonl,volunfp,clsprty,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,lrnobed,loylead,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,gndr
ESS11e01,11,1,2024-06-20,50994,AT,60,5,60,3,8,8,2,1,1,1,7,4,4,4,1,1,1,0,1,2,2,2,2,2,2,2,2,2,6,5,6,5,5,5,5,5,1,1,5,2,2,1,3,1,3,3,0,0,0,7,2
ESS11e01,11,1,2024-06-20,50995,AT,90,5,120,6,7,8,2,3,2,2,3,6,5,7,3,4,1,0,1,2,2,2,2,2,2,2,2,2,6,2,8,2,4,6,5,2,2,2,2,4,7,2,3,2,3,3,6,2,2,9,2
ESS11e01,11,1,2024-06-20,51015,AT,60,5,110,2,9,1,1,2,2,2,1,2,2,7,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,6,8,4,2,2,2,2,5,4,3,3,6,2,3,1,3,3,5,4,3,8,1
ESS11e01,11,1,2024-06-20,51029,AT,50,5,90,5,6,6,2,2,2,2,3,4,6,6,4,5,5,5,1,2,2,2,2,2,2,2,2,2,6,6,6,5,4,7,6,7,8,2,2,8,6,8,8,2,2,2,7,5,6,6,1
ESS11e01,11,1,2024-06-20,51042,AT,90,5,360,6,4,3,3,2,2,2,2,5,8,8,2,2,7,8,2,2,2,2,2,2,2,2,2,2,6,0,7,2,2,5,8,6,2,2,4,3,0,2,4,2,2,3,7,3,3,7,2
ESS11e01,11,1,2024-06-20,51046,AT,45,1,6666,4,4,9,3,2,1,2,1,7,9,9,2,3,2,3,1,2,2,2,2,2,2,2,2,2,6,5,6,6,5,9,8,7,2,5,1,5,6,2,2,4,4,4,2,1,2,6,2
ESS11e01,11,1,2024-06-20,51086,AT,60,5,90,8,9,10,2,4,4,5,2,9,10,10,6,6,6,7,1,2,1,1,1,2,2,1,1,1,1,8,8,7,8,7,8,7,3,2,3,2,7,2,3,3,4,3,5,3,2,8,2
ESS11e01,11,1,2024-06-20,51112,AT,40,5,120,8,7,7,2,3,3,3,3,5,7,8,5,3,5,5,1,2,2,2,2,2,2,2,2,2,6,5,8,6,5,8,8,8,1,2,5,3,1,2,2,2,3,3,6,5,4,8,1
ESS11e01,11,1,2024-06-20,51128,AT,120,5,180,9,7,7,1,3,2,3,2,5,8,8,4,4,4,4,1,1,1,2,1,1,1,1,2,1,2,3,9,5,2,4,1,8,2,2,4,2,3,2,3,1,2,2,7,4,5,9,1
ESS11e01,11,1,2024-06-20,51136,AT,45,5,165,7,8,8,2,3,3,3,3,8,7,7,6,6,6,6,1,1,1,2,1,2,1,1,1,2,6,3,9,6,6,6,7,7,1,2,4,3,8,3,3,2,2,2,6,7,6,9,2
